Name,Type,Category,Power,Accuracy,PP,Effect,Prob of effect
"10,000,000 Volt Thunderbolt",Electric,special,195,-,—,"<td class=""cell-long-text"">Pikachu-exclusive Z-Move. High critical hit ratio.</td>",-
Absorb,Grass,special,20,100,—,"<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>",-
Accelerock,Rock,physical,40,100,—,"<td class=""cell-long-text"">User attacks first.</td>",-
Acid,Poison,special,40,100,10,"<td class=""cell-long-text"">May lower opponent's Special Defense.</td>",10
Acid Armor,Poison,status,-,-,—,"<td class=""cell-long-text"">Sharply raises user's Defense.</td>",-
Acid Downpour,Poison,,-,-,—,"<td class=""cell-long-text"">Poison type Z-Move.</td>",-
Acid Spray,Poison,special,40,100,100,"<td class=""cell-long-text"">Sharply lowers opponent's Special Defense.</td>",100
Acrobatics,Flying,physical,55,100,—,"<td class=""cell-long-text"">Stronger when the user does not have a held item.</td>",-
Acupressure,Normal,status,-,-,—,"<td class=""cell-long-text"">Sharply raises a random stat.</td>",-
Aerial Ace,Flying,physical,60,∞,—,"<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>",-
Aeroblast,Flying,special,100,95,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
After You,Normal,status,-,-,—,"<td class=""cell-long-text"">Gives target priority in the next turn.</td>",-
Agility,Psychic,status,-,-,—,"<td class=""cell-long-text"">Sharply raises user's Speed.</td>",-
Air Cutter,Flying,special,60,95,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
Air Slash,Flying,special,75,95,30,"<td class=""cell-long-text"">May cause flinching.</td>",30
All-Out Pummeling,Fighting,,-,-,—,"<td class=""cell-long-text"">Fighting type Z-Move.</td>",-
Alluring Voice,Fairy,special,80,100,—,"<td class=""cell-long-text""></td>",-
Ally Switch,Psychic,status,-,-,—,"<td class=""cell-long-text"">User switches with opposite teammate.</td>",-
Amnesia,Psychic,status,-,-,—,"<td class=""cell-long-text"">Sharply raises user's Special Defense.</td>",-
Anchor Shot,Steel,physical,80,100,—,"<td class=""cell-long-text"">The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.</td>",-
Ancient Power,Rock,special,60,100,10,"<td class=""cell-long-text"">May raise all user's stats at once.</td>",10
Apple Acid,Grass,special,80,100,100,"<td class=""cell-long-text"">Lowers target's Special Defense.</td>",100
Aqua Cutter,Water,physical,70,100,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
Aqua Jet,Water,physical,40,100,—,"<td class=""cell-long-text"">User attacks first.</td>",-
Aqua Ring,Water,status,-,-,—,"<td class=""cell-long-text"">Restores a little HP each turn.</td>",-
Aqua Step,Water,physical,80,100,100,"<td class=""cell-long-text"">Raises user's Speed.</td>",100
Aqua Tail,Water,physical,90,90,—,"<td class=""cell-long-text""></td>",-
Arm Thrust,Fighting,physical,15,100,—,"<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>",-
Armor Cannon,Fire,special,120,100,—,"<td class=""cell-long-text"">Lowers user's Defense and Special Defense.</td>",-
Aromatherapy,Grass,status,-,-,—,"<td class=""cell-long-text"">Cures all status problems in your party.</td>",-
Aromatic Mist,Fairy,status,-,-,—,"<td class=""cell-long-text"">Raises Special Defense of an ally.</td>",-
Assist,Normal,status,-,-,—,"<td class=""cell-long-text"">User performs a move known by its allies at random.</td>",-
Assurance,Dark,physical,60,100,—,"<td class=""cell-long-text"">Power doubles if opponent already took damage in the same turn.</td>",-
Astonish,Ghost,physical,30,100,30,"<td class=""cell-long-text"">May cause flinching.</td>",30
Astral Barrage,Ghost,special,120,100,—,"<td class=""cell-long-text"">The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.</td>",-
Attack Order,Bug,physical,90,100,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
Attract,Normal,status,-,100,—,"<td class=""cell-long-text"">If opponent is the opposite gender, it's less likely to attack.</td>",-
Aura Sphere,Fighting,special,80,∞,—,"<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>",-
Aura Wheel,Electric,physical,110,100,100,"<td class=""cell-long-text"">Changes type based on Morpeko's Mode.</td>",100
Aurora Beam,Ice,special,65,100,10,"<td class=""cell-long-text"">May lower opponent's Attack.</td>",10
Aurora Veil,Ice,status,-,-,—,"<td class=""cell-long-text"">Halves damage from Physical and Special attacks for five turns.</td>",-
Autotomize,Steel,status,-,-,—,"<td class=""cell-long-text"">Reduces weight and sharply raises Speed.</td>",-
Avalanche,Ice,physical,60,100,—,"<td class=""cell-long-text"">Power doubles if user took damage first.</td>",-
Axe Kick,Fighting,physical,120,90,—,"<td class=""cell-long-text"">May confuse opponent. If it misses, the user loses HP.</td>",-
Baby-Doll Eyes,Fairy,status,-,100,—,"<td class=""cell-long-text"">Always goes first. Lowers the target's attack.</td>",-
Baddy Bad,Dark,special,90,100,—,"<td class=""cell-long-text"">Reduces damage from Physical attacks.</td>",-
Baneful Bunker,Poison,status,-,-,—,"<td class=""cell-long-text"">Protects the user and poisons opponent on contact.</td>",-
Barb Barrage,Poison,physical,60,100,—,"<td class=""cell-long-text"">May poison opponent; inflicts double damage if the target is already poisoned.</td>",-
Barrage,Normal,physical,15,85,—,"<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>",-
Barrier,Psychic,status,-,-,—,"<td class=""cell-long-text"">Sharply raises user's Defense.</td>",-
Baton Pass,Normal,status,-,-,—,"<td class=""cell-long-text"">User switches out and gives stat changes to the incoming Pokémon.</td>",-
Beak Blast,Flying,physical,100,100,—,"<td class=""cell-long-text"">The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.</td>",-
Beat Up,Dark,physical,-,100,—,"<td class=""cell-long-text"">Each Pokémon in user's party attacks.</td>",-
Behemoth Bash,Steel,physical,100,100,—,"<td class=""cell-long-text"">Damage doubles if target is Dynamaxed.</td>",-
Behemoth Blade,Steel,physical,100,100,—,"<td class=""cell-long-text"">Damage doubles if target is Dynamaxed.</td>",-
Belch,Poison,special,120,90,—,"<td class=""cell-long-text"">User must have consumed a Berry.</td>",-
Belly Drum,Normal,status,-,-,—,"<td class=""cell-long-text"">User loses 50% of its max HP, but Attack raises to maximum.</td>",-
Bestow,Normal,status,-,-,—,"<td class=""cell-long-text"">Gives the user's held item to the target.</td>",-
Bide,Normal,physical,-,-,—,"<td class=""cell-long-text"">User takes damage for two turns then strikes back double.</td>",-
Bind,Normal,physical,15,85,100,"<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>",100
Bite,Dark,physical,60,100,30,"<td class=""cell-long-text"">May cause flinching.</td>",30
Bitter Blade,Fire,physical,90,100,—,"<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>",-
Bitter Malice,Ghost,special,75,100,—,"<td class=""cell-long-text"">Lowers opponent's Attack.</td>",-
Black Hole Eclipse,Dark,,-,-,—,"<td class=""cell-long-text"">Dark type Z-Move.</td>",-
Blast Burn,Fire,special,150,90,—,"<td class=""cell-long-text"">User must recharge next turn.</td>",-
Blaze Kick,Fire,physical,85,90,10,"<td class=""cell-long-text"">High critical hit ratio. May burn opponent.</td>",10
Blazing Torque,Fire,physical,80,100,—,"<td class=""cell-long-text"">May burn the opponent.</td>",-
Bleakwind Storm,Flying,special,100,80,—,"<td class=""cell-long-text"">May lower opponent's Speed.</td>",-
Blizzard,Ice,special,110,70,10,"<td class=""cell-long-text"">May freeze opponent.</td>",10
Block,Normal,status,-,-,—,"<td class=""cell-long-text"">Opponent cannot flee or switch.</td>",-
Blood Moon,Normal,special,140,100,—,"<td class=""cell-long-text"">Cannot be used twice in a row.</td>",-
Bloom Doom,Grass,,-,-,—,"<td class=""cell-long-text"">Grass type Z-Move.</td>",-
Blue Flare,Fire,special,130,85,20,"<td class=""cell-long-text"">May burn opponent.</td>",20
Body Press,Fighting,physical,80,100,—,"<td class=""cell-long-text"">The higher the user's Defense, the stronger the attack.</td>",-
Body Slam,Normal,physical,85,100,30,"<td class=""cell-long-text"">May paralyze opponent.</td>",30
Bolt Beak,Electric,physical,85,100,—,"<td class=""cell-long-text"">If the user attacks before the target, the power of this move is doubled.</td>",-
Bolt Strike,Electric,physical,130,85,20,"<td class=""cell-long-text"">May paralyze opponent.</td>",20
Bone Club,Ground,physical,65,85,10,"<td class=""cell-long-text"">May cause flinching.</td>",10
Bone Rush,Ground,physical,25,90,—,"<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>",-
Bonemerang,Ground,physical,50,90,—,"<td class=""cell-long-text"">Hits twice in one turn.</td>",-
Boomburst,Normal,special,140,100,—,"<td class=""cell-long-text"">Hits all adjacent Pokémon.</td>",-
Bounce,Flying,physical,85,85,30,"<td class=""cell-long-text"">Springs up on first turn, attacks on second. May paralyze opponent.</td>",30
Bouncy Bubble,Water,special,90,100,—,"<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>",-
Branch Poke,Grass,physical,40,100,—,"<td class=""cell-long-text""></td>",-
